url,traffic_pct,keywords,traffic,traffic_change,answer_engines,top_keyword,primary_intent,llm_prompts
https://smartq.pureforyou.com/products/33055660703778/5-htp-50-mg-60,0.41,14,138,132,"google, google-ai",5-htp 100 mg pure encapsulations,Informational,6
https://smartq.pureforyou.com/products/33055651561506/calcium-with-vitamin-d3,0.39,140,132,60,google,calcium a vitamin d,Informational,2
https://smartq.pureforyou.com/products/39410173149218/probiotic-g-i,0.35,15,118,75,"google, google-ai",pure encapsulations probiotic,Informational,2
https://smartq.pureforyou.com/products/41055422054434/biotin-complex-hair-skin-60s,0.34,17,116,-10,"google, google-ai",pure encapsulations biotin complex hair & skin,Informational,4
https://smartq.pureforyou.com/products/33055651266594/chaste-tree-vitex-60,0.33,37,111,53,"google, google-ai",chaste tree berry,Informational,3
https://smartq.pureforyou.com/products/33055574786082/relora-60,0.32,10,108,30,google,relora,Informational,2
https://smartq.pureforyou.com/products/33055653560354/calcium-magnesium-citrate-90,0.32,55,108,95,google,calcium magnesium supplement,Informational,4
https://smartq.pureforyou.com/products/33055659884578/acai-600,0.31,25,107,3,"google, google-ai",acai supplement,Informational,12
https://smartq.pureforyou.com/products/33055645564962/dl-phenylalanine-90,0.3,30,104,-14,google,phenylalanine supplement,Informational,1
https://smartq.pureforyou.com/products/33055601229858/melatonin-60,0.3,17,101,11,google,pure melatonin,Informational,4
https://smartq.pureforyou.com/products/33055565185058/d-mannose-powder-176,0.29,15,100,65,google,d mannose powder,Informational,4
https://smartq.pureforyou.com/products/39354438484002/melatonin-3-mg-180-capsules,0.29,4,99,2,,pure encapsulations melatonin,Informational,0
https://smartq.pureforyou.com/products/33055612141602/macular-support-formula-60,0.28,8,97,4,,pure encapsulations macular support,Informational,0
https://smartq.pureforyou.com/products/33055632883746/l-theanine-60,0.28,26,97,-22,"gemini, google-ai",pure encapsulations l theanine,Informational,4
https://smartq.pureforyou.com/products/32040735965218/curcumin-500-with-bioperine,0.27,61,92,-10,"google, google-ai",curcumin piperine supplement,Informational,8
https://smartq.pureforyou.com/products/39406542520354/b12-folate,0.26,62,88,14,google,pure encapsulations b12,Informational,3
https://smartq.pureforyou.com/products/33055635210274/inositol-powder,0.26,23,88,6,google,inositol powder,Informational,1
https://smartq.pureforyou.com/products/32040787574818/same-60,0.25,7,87,76,,pure encapsulations same 60 capsules,Informational,0
https://smartq.pureforyou.com/products/32040737734690/dim-detox,0.25,21,87,-42,"gemini, google",dim detox,Informational,2
https://smartq.pureforyou.com/products/32040732033058/best-rest-formula,0.25,26,87,36,google,pure encapsulations best rest,Commercial,4
https://smartq.pureforyou.com/products/33055592087586/motilpro,0.25,39,87,-128,google,motilpro,Informational,4
https://smartq.pureforyou.com/products/44297548202018/pure-sleep,0.25,4,86,-5,"gemini, search-gpt",pure sleep,Informational,3
https://smartq.pureforyou.com/products/33055634685986/ip6-inositol-hexaphosphate,0.25,25,84,-8,google,ip6,Informational,1
https://smartq.pureforyou.com/products/39444930887714/calcium-k-d,0.24,19,82,-12,google,pure encapsulations calcium,Informational,1
https://smartq.pureforyou.com/products/32040734031906/coq10-120-mg,0.24,14,81,-6,google-ai,pure encapsulations coq10,Informational,1
https://smartq.pureforyou.com/products/32944646193186/curcumin,0.24,16,81,-10,google,pure encapsulations curcumin,Informational,2
https://smartq.pureforyou.com/products/33055638093858/glycine,0.23,35,80,56,google,pure encapsulations glycine 180 capsules,Informational,1
https://smartq.pureforyou.com/products/39710206656546/puregenomics-multivitamin,0.23,17,79,-10,"gemini, google, google-ai",pure methylated multivitamin,Informational,4
https://smartq.pureforyou.com/products/33055573737506/saccharomyces-boulardii,0.22,54,77,39,google-ai,saccharomyces boulardii probiotic,Informational,2
https://smartq.pureforyou.com/products/33055588319266/optiferin-c,0.22,16,75,-74,"gemini, google, google-ai, search-gpt",optiferin c,Informational,6
https://smartq.pureforyou.com/collections/womens-formulas,0.22,26,74,37,gemini,pure multivitamin for women,Informational,1
https://smartq.pureforyou.com/products/32040786821154/quercetin,0.22,4,74,22,google-ai,pure encapsulations quercetin,Informational,1
https://smartq.pureforyou.com/products/32040780300322/potassium-citrate,0.21,19,71,62,,potassium citrate supplement,Informational,0
https://smartq.pureforyou.com/products/33055645958178/digestion-gb-90,0.2,49,70,1,google,pure encapsulations digestion gb,Informational,4
https://smartq.pureforyou.com/products/33055632523298/l-tryptophan-90,0.2,11,70,67,google,tryptophan supplement,Informational,1
https://smartq.pureforyou.com/products/39741659709474/womens-nutrients-180,0.2,9,68,-1,search-gpt,pure encapsulations women's nutrients,Informational,1
https://smartq.pureforyou.com/products/33055586123810/potassium-magnesium-aspartate-90,0.19,59,67,-8,"google, google-ai",magnesium and potassium,Informational,6
https://smartq.pureforyou.com/collections/cellular-health-longevity,0.19,63,67,-16,"google, google-ai",cellular health supplements,Informational,5
https://smartq.pureforyou.com/products/33055593168930/methylcobalamin-60,0.19,23,67,-22,google,pure vitamin b12,Informational,2
https://smartq.pureforyou.com/collections/vision-support,0.19,31,67,-5,,vision support,Informational,0
https://smartq.pureforyou.com/products/33055645663266/dimpro-100-60,0.19,25,67,-37,"google, google-ai",dim pro pure encapsulations,Informational,5
https://smartq.pureforyou.com/products/32040730689570/athletic-pure-pack-30,0.17,6,58,7,,pure encapsulations athletic pure pack,Informational,0
https://smartq.pureforyou.com/products/33055585402914/probiotic-50b,0.16,13,55,-41,google,pure encapsulations pure probiotic,Informational,1
https://smartq.pureforyou.com/products/33055588778018/nutrient-950-without-copper-iron-iodine,0.15,98,53,-19,google,multivitamin no iodine,Informational,8
https://smartq.pureforyou.com/products/40744026800162/inositol-complex,0.15,16,52,0,google,pure encapsulations inositol,Informational,2
https://smartq.pureforyou.com/products/33055587926050/p5p-50-60,0.15,37,51,-48,google,p5p b6,Informational,7
https://smartq.pureforyou.com/products/33055590023202/nutrient-950-90,0.15,7,51,-11,"gemini, google-ai, search-gpt",pure encapsulations nutrient 950,Informational,4
https://smartq.pureforyou.com/products/33055565545506/cranberry-d-mannose-90,0.15,52,51,28,,mannose cranberry,Informational,0
https://smartq.pureforyou.com/products/33096561066018/nac-glycine-powder,0.14,47,50,13,google,nac glycine,Informational,3
https://smartq.pureforyou.com/products/33055578980386/purelean-fiber,0.14,10,49,-2,google,purelean fiber,Informational,1
https://smartq.pureforyou.com/collections/mens-formulas,0.14,8,48,46,,pure encapsulations men's multivitamin,Informational,0
https://smartq.pureforyou.com/products/33055642222626/folic-acid,0.14,25,48,30,google,400 micrograms of folic acid,Informational,3
https://smartq.pureforyou.com/products/39630117666850/alpha-lipoic-acid-600-mg,0.13,11,47,4,,pure encapsulations alpha lipoic acid,Informational,0
https://smartq.pureforyou.com/products/33055573114914/selenium-selenomethionine-60,0.13,60,47,-7,google,selenomethionine supplement,Informational,1
https://smartq.pureforyou.com/products/33055567609890/zinc-liquid,0.13,34,46,-15,"gemini, google",zinc liquid,Informational,3
https://smartq.pureforyou.com/products/39699859472418/cognimag-1,0.13,13,46,-12,google,cognimag pure encapsulations,Informational,1
https://smartq.pureforyou.com/products/32040748023842/junior-nutrients,0.13,5,45,1,"gemini, google-ai",pure encapsulations junior nutrients,Informational,4
https://smartq.pureforyou.com/products/33055569346594/vitamin-e-90,0.13,25,44,17,google,pure vitamin e,Informational,1
https://smartq.pureforyou.com/products/32040742486050/hair-skin-nails-ultra,0.13,45,44,6,google-ai,pure encapsulations hair skin nails,Informational,3
https://smartq.pureforyou.com/collections/pure-surplus-offers,0.12,10,43,0,"gemini, google, google-ai",pureforyou discount code,Informational,3
https://smartq.pureforyou.com/products/33064560525346/neuropure,0.12,12,43,0,"gemini, google, google-ai",pure neuropure,Informational,6
https://smartq.pureforyou.com/collections/all,0.12,24,42,-3,"gemini, google, google-ai, search-gpt",pure products,Informational,7
https://smartq.pureforyou.com/products/42756074209314/nr-longevity,0.12,55,42,-36,,pure nad supplement,Informational,0
https://smartq.pureforyou.com/products/33055651495970/caprylic-acid-120,0.12,16,42,19,"gemini, google",caprylic acid,Informational,2
https://smartq.pureforyou.com/products/33055636750370/homocysteine-factors-60,0.12,12,41,11,"gemini, google",homocysteine supplement,Informational,2
https://smartq.pureforyou.com/products/33055571607586/systemic-enzyme-complex,0.11,20,40,9,,systemic enzymes,Informational,0
https://smartq.pureforyou.com/products/33055647596578/collagen-js-60,0.11,24,40,-11,"gemini, google-ai",pure collagen,Informational,3
https://smartq.pureforyou.com/login,0.11,2,40,0,,pureforyou login,"Transactional, Navigational",0
https://pureforyou.com/pages/contact-us,0.11,48,39,18,,pure encapsulations customer service,Informational,0
https://smartq.pureforyou.com/products/33055637798946/grapefruit-seed-extract-60,0.11,44,39,-24,google,grapefruit seed extract,Informational,6
https://smartq.pureforyou.com/collections/blood-sugar,0.11,61,39,29,"google, google-ai",blood sugar support supplements,Informational,4
https://smartq.pureforyou.com/products/33055633014818/l-methionine,0.11,17,39,38,google,methionine supplement,Informational,1
https://smartq.pureforyou.com/products/33055571083298/ubiquinol-qh-200,0.11,19,38,28,,ubiquinol supplement,Informational,0
https://smartq.pureforyou.com/products/39354414202914/cholestepure-plus-ii,0.1,17,36,-16,"gemini, google",cholestepure plus,Informational,4
https://smartq.pureforyou.com/products/33055641731106/gi-fortify,0.1,7,36,4,"google, google-ai",gi fortify,Informational,3
https://smartq.pureforyou.com/products/33055655657506/b6-complex-60,0.1,14,34,-10,google,b6 complex,Informational,1
https://smartq.pureforyou.com/products/33055595462690/melatonin-liquid,0.1,7,34,23,,melatonin liquid,Informational,0
https://smartq.pureforyou.com/products/33055644254242/essential-aminos,0.09,14,33,19,"gemini, google-ai",pure encapsulations essential aminos,Informational,2
https://smartq.pureforyou.com/products/32944647995426/liver-gi-detox,0.09,20,33,-25,google,liver gi detox pure encapsulations,Informational,3
https://smartq.pureforyou.com/products/39354441891874/nitric-oxide-ultra-capsules,0.09,7,33,-6,,pure encapsulations nitric oxide,Informational,0
https://smartq.pureforyou.com/products/33055565447202/cranberry-ns-90,0.09,36,33,-9,google,pure cranberry,Informational,3
https://smartq.pureforyou.com/products/33055626330146/lithium-orotate-5-mg-90,0.09,65,33,-9,google,pure encapsulations lithium orotate,Informational,2
https://smartq.pureforyou.com/products/33055587565602/pantethine-60,0.09,5,31,31,,pantethine,Informational,0
https://smartq.pureforyou.com/products/40550555025442/athletic-nutrients,0.09,6,31,-32,google,athletic nutrients,Informational,1
https://smartq.pureforyou.com/products/44791806656546/efa-essentials,0.09,15,31,0,google,efa supplement,Informational,1
https://smartq.pureforyou.com/products/33055554863138/zinc-chewables,0.09,13,31,-6,google,zinc chewable tablets,Informational,2
https://smartq.pureforyou.com/products/33055633244194/l-lysine-90,0.09,19,31,-18,"gemini, google, google-ai, search-gpt",l lysine pure,Informational,4
https://smartq.pureforyou.com/products/32040732262434/betaine-hcl-pepsin,0.08,39,30,-9,,hcl and pepsin,Informational,0
https://smartq.pureforyou.com/products/33055656083490/astaxanthin-60,0.08,15,30,-4,,pure encapsulations astaxanthin,Informational,0
https://smartq.pureforyou.com/products/32040768241698/mens-pure-pack,0.08,53,29,6,"gemini, google, google-ai",male vitamin packs,Informational,5
https://smartq.pureforyou.com/products/33055655395362/bcaa-powder,0.08,14,29,22,,bcaa powder,Informational,0
https://smartq.pureforyou.com/products/33055646416930/dhea-10-mg-60,0.08,12,28,7,google,pure encapsulations dhea 10 mg,Informational,1
https://smartq.pureforyou.com/products/33055676432418/b12-liquid,0.07,15,26,-47,google,pure encapsulations b12 liquid,Informational,1
https://smartq.pureforyou.com/products/39359797657634/renual,0.07,8,24,-10,"gemini, google-ai",renual,Informational,2
https://smartq.pureforyou.com/products/33055671910434/puredefense-with-nac,0.06,5,23,-25,google,pure defense with nac,Informational,1
https://smartq.pureforyou.com/products/39375529050146/longevity-nutrients-1,0.06,12,23,20,,pure encapsulations longevity nutrients 120 capsules,Informational,0
https://smartq.pureforyou.com/products/33055693045794/joint-complex,0.06,8,22,-3,,pure encapsulations joint complex,Informational,0
https://smartq.pureforyou.com/products/33055585697826/probiomood,0.06,3,22,0,,probio mood,Informational,0
https://smartq.pureforyou.com/products/32040794882082/womens-pure-pack,0.06,34,22,-2,"gemini, google-ai",women's pure pack,Informational,3
https://smartq.pureforyou.com/products/32040794423330/vitamin-d3-vegan-liquid,0.06,6,22,-6,"google, google-ai",vegan liquid supplement,Informational,2
https://smartq.pureforyou.com/products/33055654936610/boron-glycinate,0.06,19,21,-57,google,pure encapsulations boron,Informational,1
https://smartq.pureforyou.com/products/39406546485282/zinc-15,0.06,9,21,1,google,pure encapsulations zinc 15,Informational,2
https://smartq.pureforyou.com/products/32040784625698/puremelt-b12-folate,0.06,9,21,-3,"gemini, google-ai, search-gpt",pure encapsulations b12 folate,Informational,4
https://smartq.pureforyou.com/products/32040772370466/methylassist,0.06,13,21,-2,google,pure encapsulations methylfolate,Informational,3
https://smartq.pureforyou.com/products/33055642157090/gaba-60,0.05,11,20,-22,"gemini, google, google-ai",pure encapsulations gaba,Informational,6
https://smartq.pureforyou.com/products/33055577571362/r-lipoic-acid-stabilized-60,0.05,10,20,20,google,r lipoic acid,Informational,1
https://smartq.pureforyou.com/products/33055560925218/epa-dha-essentials-90,0.05,12,20,5,"gemini, google-ai",pure encapsulations epa dha essentials,Informational,3
https://smartq.pureforyou.com/products/33055560761378/glucose-support-formula-60,0.05,11,19,-11,google,glucose support formula,Informational,1
https://smartq.pureforyou.com/products/39361650753570/hist-reset,0.05,10,19,0,"gemini, google, google-ai",hist reset,Informational,8
https://smartq.pureforyou.com/products/32040738291746/electrolyte-energy-formula,0.05,11,18,5,,pure encapsulations electrolyte,Commercial,0
https://smartq.pureforyou.com/products/33055641370658/gi-integrity-120,0.05,10,18,0,"google, google-ai",gi integrity,Informational,2
https://smartq.pureforyou.com/products/33055590285346/nsk-sd-60,0.05,19,18,-1,,pure encapsulations nattokinase,Informational,0
https://smartq.pureforyou.com/products/33055570133026/ultranutrient,0.05,9,17,-7,,pure encapsulations ultranutrient,Informational,0
https://smartq.pureforyou.com/products/33055589597218/nutrient-950-with-vitamin-k,0.05,4,17,15,"gemini, google-ai, search-gpt",multivitamin containing vitamin k,Informational,6
https://smartq.pureforyou.com/products/33055653527586/calcium-magnesium-citrate-malate,0.05,17,17,-2,,calcium citrate malate,Informational,0
https://smartq.pureforyou.com/products/32040794259490/vitamin-d3-liquid,0.05,19,17,-9,"gemini, google, google-ai",pure encapsulations vit d liquid,Informational,7
https://smartq.pureforyou.com/products/33055574917154/reduced-glutathione-60,0.04,9,16,-3,google,reduced glutathione,Informational,3
https://smartq.pureforyou.com/products/33055642255394/folate-400,0.04,7,16,8,,pure encapsulations folate,Informational,0
https://smartq.pureforyou.com/products/33055567446050/coq10-30-mg-120,0.04,8,16,-2,,coq10 30mg,Informational,0
https://smartq.pureforyou.com/products/33055634587682/iron-liquid,0.04,13,16,-11,"gemini, google-ai",pure encapsulations iron liquid,Informational,2
https://smartq.pureforyou.com/products/33055583404066/prostaflo,0.04,20,16,-19,,prostaflo,Informational,0
https://smartq.pureforyou.com/products/41167724052514/liposomal-vitamin-c-1,0.04,24,16,16,,c liposomal vitamin,Informational,0
https://smartq.pureforyou.com/products/33055565381666/curcumasorb-mind,0.04,4,16,0,"gemini, google, google-ai",curcumasorb mind,Informational,4
https://smartq.pureforyou.com/collections/mental-health-stress-support,0.04,34,15,4,,best supplements for mental health,Informational,0
https://smartq.pureforyou.com/products/44791607853090/saw-palmetto-320-120,0.04,5,15,1,,pure saw palmetto,Informational,0
https://smartq.pureforyou.com/products/33055572066338/sunbutyrate-tg-liquid,0.04,18,15,4,"gemini, google",pure encapsulations sunbutyrate,Informational,3
https://smartq.pureforyou.com/products/33055634063394/l-carnitine-60,0.04,6,15,2,,l carnitine pure,Informational,0
https://smartq.pureforyou.com/products/33055586025506/potassium-magnesium-citrate-180,0.04,33,15,-71,google,potassium and magnesium citrate,Informational,2
https://smartq.pureforyou.com/products/39400289599522/growth-hormone-support,0.04,32,15,-3,,human growth hormone supplement,Informational,0
https://smartq.pureforyou.com/products/39644643229730/gluten-dairy-digest,0.04,4,15,2,google,gluten digest,Informational,1
https://smartq.pureforyou.com/products/33055589924898/nutrient-950-a-without-copper-iron,0.04,5,15,10,gemini,pure encapsulations nutrient 950,Informational,1
https://smartq.pureforyou.com/collections/liver-detoxification,0.04,26,15,7,"google, search-gpt",liver pure,Informational,3
https://smartq.pureforyou.com/products/33055658901538/adrenal,0.04,34,14,-7,,pure encapsulations adrenal,Informational,0
https://smartq.pureforyou.com/blog/556445368354/what-are-the-benefits-of-coq10,0.04,84,14,11,google,what is co q ten good for,Informational,1
https://smartq.pureforyou.com/products/40461954711586/choline-bitartrate,0.04,14,14,10,,choline bitartrate,Informational,0
https://smartq.pureforyou.com/products/43231157321762/rapid-calm,0.03,4,13,0,,rapid calm pure encapsulations,Informational,0
https://smartq.pureforyou.com/products/39402714103842/emotional-wellness,0.03,5,13,-2,"gemini, google-ai",pure encapsulations emotional wellness,Informational,2
https://smartq.pureforyou.com/products/44791808196642/vitamin-a-carotenoids,0.03,14,13,11,,pure encapsulations vitamin a,Informational,0
https://smartq.pureforyou.com/products/40181748564002/digestive-enzyme-chewables,0.03,10,13,-13,google,digestive enzymes chewable,Informational,3
https://smartq.pureforyou.com/products/43781004492834/muscle-repair,0.03,2,13,6,google,muscle pure,Informational,1
https://smartq.pureforyou.com/products/39406545305634/pomegranate-plus,0.03,6,13,0,,pomeg plus,Informational,0
https://smartq.pureforyou.com/collections/weight-management,0.03,15,13,-4,,pure encapsulations weight loss,Informational,0
https://smartq.pureforyou.com/products/32040728166434/ascorbic-acid-capsules,0.03,10,13,-5,google,pure vitamin c supplement,Informational,2
https://smartq.pureforyou.com/products/33055650152482/chromium-picolinate-200-mcg-60,0.03,14,12,-5,,chromium picolinate 200 mcg,Informational,0
https://smartq.pureforyou.com/products/33055654969378/borage-oil-60,0.03,21,12,2,"google, search-gpt",borage oil supplements,Informational,6
https://smartq.pureforyou.com/products/33055585665058/probiotic-5,0.03,6,12,5,,pure encapsulations probiotic 5,Informational,0
https://smartq.pureforyou.com/products/39403571019810/l-glutamine-500-mg,0.03,3,12,0,,l glutamine pure encapsulations,Informational,0
https://smartq.pureforyou.com/products/33055582453794/puregenomics-b-complex,0.03,7,12,-16,google-ai,puregenomics b complex,Informational,1
https://smartq.pureforyou.com/products/33055565643810/coq10-l-carnitine-fumarate,0.03,19,12,-5,google,coq10 with l carnitine,Informational,2
https://smartq.pureforyou.com/products/39628424118306/pureprobiotic,0.03,8,12,12,,pure encapsulations probiotic,Informational,0
https://smartq.pureforyou.com/products/33055613648930/maca-3-60,0.03,17,12,0,"google, google-ai",maca 3,Informational,6
https://smartq.pureforyou.com/products/33055573475362/saw-palmetto-plus-60,0.03,7,12,-1,,pure encapsulations saw palmetto,Informational,0
https://smartq.pureforyou.com/products/42756074209314/nr-longevity%E2%80%8B,0.03,5,11,11,google,nad pure encapsulations,Informational,1
https://smartq.pureforyou.com/products/33055598772258/melatonin-20-60,0.03,17,11,10,google,melatonin 20 mg,Informational,2
https://smartq.pureforyou.com/products/40699732885538/mitochondria-atp120s,0.03,25,11,-2,google-ai,mitochondrial atp,Informational,1
https://smartq.pureforyou.com/products/33055557713954/phosphatidylcholine,0.03,19,11,0,,phosphatidylcholine pure encapsulations,Informational,0
https://smartq.pureforyou.com/products/33055638880290/glucosamine-chondroitin-with-msm-60,0.03,36,11,-7,,chondroitin glucosamine with msm,Informational,0
https://smartq.pureforyou.com/products/44791803936802/metabolic-xtra-90,0.03,5,11,0,,metabolic xtra,Informational,0
https://smartq.pureforyou.com/products/39406543470626/bcaa-capsules-90,0.03,7,11,0,,bcaa capsules,"Commercial, Informational",0
https://smartq.pureforyou.com/products/32040741961762/green-tea-extract-decaffeinated,0.03,37,11,4,google,pure encapsulations green tea extract,Informational,3
https://smartq.pureforyou.com/collections/childrens-formulas,0.03,4,11,0,google-ai,kids multivitamin with magnesium,Informational,1
https://smartq.pureforyou.com/products/32040787247138/resveratrol-extra,0.03,15,11,0,,resveratrol extra,Informational,0
https://smartq.pureforyou.com/products/32040780103714/perilla-extract-90,0.03,7,11,0,,perilla extract benefits,Informational,0
https://smartq.pureforyou.com/products/33055569575970/vitamin-d3-250-60,0.02,9,10,-2,google,pure encapsulations vitamin d3 10 000 iu,Informational,2
https://smartq.pureforyou.com/products/39337319039010/vitamin-d3-vegan,0.02,30,10,0,,d3 supplement vegan,Informational,0
https://smartq.pureforyou.com/products/33055659556898/adenosyl-hydroxy-b12-90,0.02,20,10,-3,,hydroxy b12 and adenosyl b12,Informational,0
https://smartq.pureforyou.com/blog/561239916578/types-of-magnesium-which-one-is-the-best,0.02,105,10,-1,"google, google-ai",magnesium l threonate pure encapsulations,"Commercial, Informational",14
https://smartq.pureforyou.com/products/33055647105058/colostrum-40-igg,0.02,7,10,1,google,pure encapsulations colostrum,Informational,2
https://smartq.pureforyou.com/products/32040791572514/ubiquinol-qh-100-mg,0.02,15,10,5,,ubiquinol coq10,Informational,0
https://smartq.pureforyou.com/products/33055569903650/vitamin-a,0.02,7,10,1,,vitamin a 10000 iu,Informational,0
https://smartq.pureforyou.com/products/33055646253090/dhea-5-mg-60,0.02,11,10,-5,,dhea 5 mg,Informational,0
https://smartq.pureforyou.com/products/32040731934754/benfomax,0.02,14,10,-10,,benfomax,Informational,0
https://smartq.pureforyou.com/products/32889991921698/ultra-pure-pack,0.02,11,9,0,,pure encapsulations ultra pure pack,Informational,0
https://smartq.pureforyou.com/products/33054553210914/iodine-potassium-iodide,0.02,37,9,2,,pure encapsulations iodine supplement,Informational,0
