keyword,position,prev_position,search_volume,keyword_difficulty,cpc,url,traffic,traffic_pct,traffic_cost,competition,serp_features,keyword_intents,position_type
pure encapsulations prenatal,1,1,1300,21,1.76,https://smartq.pureforyou.com/products/40638309761058/prenatal-nutrients,322,0.95,566,1,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, Discussions and forums",informational,Organic
pure for you,1,1,390,45,2.36,https://pureforyou.com/,312,0.92,736,0.81,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
pure encapsulations hm complex 90 capsules,6,6,9900,6,0,https://smartq.pureforyou.com/products/39400274690082/hm-complex,297,0.88,0,0,"Sitelinks, Related searches, AI overview",informational,Organic
copper supplement,6,6,12100,53,0.54,https://smartq.pureforyou.com/products/33055646941218/copper-glycinate,290,0.86,156,1,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
dgl,2,1,4400,16,0.58,https://smartq.pureforyou.com/products/33055646777378/dgl-plus-60,286,0.85,165,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
pureforyou,1,1,320,45,1.45,https://pureforyou.com/,256,0.76,371,0.8,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",navigational,Organic
pure encapsulations macular support formula 60 capsules,2,2,1900,7,0,https://smartq.pureforyou.com/products/33055612108834/macular-support-formula-60,250,0.74,0,0,"Sitelinks, People also ask",informational,Organic
pure encapsulations b-complex plus,2,2,1900,14,0.68,https://smartq.pureforyou.com/products/39406461747234/b-complex-plus,250,0.74,170,1,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
pure encapsulations one multivitamin,2,2,1900,28,0.58,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,250,0.74,145,1,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
tyrosine supplement,5,5,8100,43,1.06,https://smartq.pureforyou.com/products/33055632228386/l-tyrosine,243,0.72,257,1,"Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
pure encapsulations multivitamin,3,3,2900,35,0.79,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,237,0.7,187,1,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","commercial, informational",Organic
pure encapsulation,4,4,3600,35,1.17,https://pureforyou.com/,234,0.69,273,1,"Sitelinks, Video, Image, Ads top, Video Carousel, People also ask, Related searches",informational,Organic
pure magnesium glycinate,1,1,6600,25,1.14,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,229,0.68,261,1,"Image pack, Sitelinks, Video, Image, Ads bottom, People also ask, Related searches, AI overview",informational,AI overview
pure encapsulations magnesium,2,2,1600,34,1.14,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,211,0.62,240,1,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
magnesium glycinate,35,32,673000,52,0.77,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,201,0.59,154,1,"Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
pure amino,1,1,2400,17,3.19,https://smartq.pureforyou.com/products/33055656804386/amino-replete,198,0.58,631,1,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches","commercial, informational",Image pack
pure amino,1,1,2400,17,3.19,https://smartq.pureforyou.com/products/39382136717346/amino-nr-1,198,0.58,631,1,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches","commercial, informational",Image pack
l glutamine powder,3,3,4400,37,0.76,https://smartq.pureforyou.com/products/33055633408034/l-glutamine-powder,193,0.57,146,1,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
purely for you,1,1,210,23,2.36,https://pureforyou.com/,168,0.5,396,0.81,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches",navigational,Organic
l glutamine,6,6,33100,73,0.41,https://smartq.pureforyou.com/products/33055633408034/l-glutamine-powder,165,0.49,67,0.98,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
pure magnesium,2,2,2400,28,0.98,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,156,0.46,152,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
potassium citrate,8,8,22200,50,0.99,https://smartq.pureforyou.com/products/32040780267554/potassium-citrate,155,0.46,153,0.97,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
l-arginine dietary supplement,9,9,8100,68,0.81,https://smartq.pureforyou.com/products/33055634260002/l-arginine,153,0.45,123,0.98,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
dao supplement,6,6,8100,27,0.67,https://smartq.pureforyou.com/products/43700732919842/dao-enzyme,153,0.45,102,1,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
dgl,1,0,4400,16,0.58,https://smartq.pureforyou.com/products/33055646777378/dgl-plus-60,152,0.45,88,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
zinc carnosine,5,5,6600,39,0.9,https://smartq.pureforyou.com/products/33055587205154/peptic-care-zinc-l-carnosine,145,0.43,130,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
one multivitamin,2,2,1000,28,0.77,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,132,0.39,101,1,"Image pack, Sitelinks, Video, People also ask, Related searches",informational,Organic
pure encapsulations digestive enzymes,2,2,1000,13,0.8,https://smartq.pureforyou.com/products/32040736817186/digestive-enzymes-ultra,132,0.39,105,1,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
pure one multivitamin,2,2,1000,25,0.7,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,132,0.39,92,1,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
pure encapsulation magnesium glycinate,2,2,1000,31,1.33,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,132,0.39,175,1,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos","informational, transactional",Organic
5-htp 100 mg pure encapsulations,3,3,1600,9,0,https://smartq.pureforyou.com/products/33055660703778/5-htp-50-mg-60,131,0.39,0,0,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
hyaluronic acid supplements,10,10,9900,44,0.9,https://smartq.pureforyou.com/products/33055636029474/hyaluronic-acid-60,128,0.38,115,1,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
magnesium glycinate pure encapsulations,3,3,2900,26,1.33,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,127,0.37,168,1,"Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
l-glutamine powder,3,3,3600,32,0.76,https://smartq.pureforyou.com/products/33055633408034/l-glutamine-powder,126,0.37,95,1,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
digestive enzyme,4,4,3600,50,1.62,https://smartq.pureforyou.com/products/32040736817186/digestive-enzymes-ultra,126,0.37,204,1,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Things to know, AI overview",informational,Organic
pure vitamins,9,9,6600,48,1.48,https://pureforyou.com/,125,0.37,185,1,"Sitelinks, Video, Image, Ads bottom, People also ask, Related searches",commercial,Organic
acid hyaluronic supplements,6,6,5400,50,0.96,https://smartq.pureforyou.com/products/33055636029474/hyaluronic-acid-60,118,0.35,113,1,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
dao enzyme,7,4,8100,42,0.74,https://smartq.pureforyou.com/products/43700732919842/dao-enzyme,105,0.31,77,1,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
magnesium glycinate liquid,4,4,2900,9,0.65,https://smartq.pureforyou.com/products/33055608307746/magnesium-glycinate-liquid,101,0.3,65,1,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
magnesium glycinate liquid,1,1,2900,9,0.65,https://smartq.pureforyou.com/products/33055608307746/magnesium-glycinate-liquid,100,0.29,65,1,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
l tyrosine supplement,5,5,4400,52,1.18,https://smartq.pureforyou.com/products/33055632228386/l-tyrosine,96,0.28,113,0.99,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pure supplements,6,6,4400,47,2.37,https://pureforyou.com/,96,0.28,227,1,"Knowledge panel, Sitelinks, Video, Ads top, Video Carousel, People also ask, Related searches",informational,Organic
o.n.e. multivitamin,2,2,720,33,0.65,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,95,0.28,61,1,"Knowledge panel, Sitelinks, Video, Ads top, Ads bottom, People also ask, Related searches",informational,Organic
pure encapsulations men's nutrients,2,2,720,10,1.16,https://smartq.pureforyou.com/products/39741657153570/mens-nutrients-180,95,0.28,110,1,"Sitelinks, Video, Image, People also ask, Related searches, Things to know",commercial,Organic
sp pureforyou,1,1,110,23,0.9,https://pureforyou.com/,88,0.26,79,0.97,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
creatine pure,2,2,1300,23,1.76,https://smartq.pureforyou.com/products/44341136982050/pure-creatine,84,0.25,147,1,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches, Short videos, AI overview",informational,Organic
magnesium pure encapsulations product info and reviews,2,2,1300,27,0,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,84,0.25,0,0,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
pure encapsulations same 60 capsules,4,4,1900,18,0,https://smartq.pureforyou.com/products/32040787574818/same-60,83,0.24,0,0,"Knowledge panel, Sitelinks, People also ask, Related searches, AI overview",informational,Organic
glutamine powder,3,3,1900,33,0.81,https://smartq.pureforyou.com/products/33055633408034/l-glutamine-powder,83,0.24,67,1,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
pure encapsulations melatonin,3,3,1000,11,0.98,https://smartq.pureforyou.com/products/39354438484002/melatonin-3-mg-180-capsules,82,0.24,80,1,"Knowledge panel, Image pack, Sitelinks, Video, Image, People also ask, Related searches",informational,Organic
pure sleep,3,3,1000,33,3.16,https://smartq.pureforyou.com/products/44297548202018/pure-sleep,82,0.24,259,1,"Knowledge panel, Sitelinks, Video, Popular products, Related searches",commercial,Organic
pure encapsulations b complex,3,3,1000,21,0.97,https://smartq.pureforyou.com/products/39406461747234/b-complex-plus,82,0.24,79,1,"Knowledge panel, Sitelinks, Video, Image, Related searches, Discussions and forums",informational,Organic
magnesium citrate capsules,2,2,1000,39,0.85,https://smartq.pureforyou.com/products/32040753659938/magnesium-citrate,82,0.24,69,1,"Image pack, Sitelinks, Video, Related searches, Discussions and forums, AI overview",informational,Organic
pure vitamin,2,2,1000,35,1.38,https://smartq.pureforyou.com/collections/vitamins-minerals,82,0.24,113,1,"Image pack, Sitelinks, Video, Ads top, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
liposomal glutathione,11,11,27100,62,1.49,https://smartq.pureforyou.com/products/33055630295074/liposomal-glutathione-30,81,0.24,120,1,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pure encapsulations b complex plus,2,2,590,14,0.8,https://smartq.pureforyou.com/products/39406461747234/b-complex-plus,77,0.22,61,1,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
pure encapsulations vitamin b complex,2,2,590,18,0.97,https://smartq.pureforyou.com/products/39406461747234/b-complex-plus,77,0.22,74,1,"Knowledge panel, Sitelinks, Image, Video Carousel, People also ask, Related searches",informational,Organic
pure vitamin d,2,2,590,13,0.88,https://smartq.pureforyou.com/products/39406546288674/vitamin-d3,77,0.22,67,1,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
pure encapsulations - buffered ascorbic acid,2,0,590,9,1.26,https://smartq.pureforyou.com/products/33055654182946/buffered-ascorbic-acid-powder-8,77,0.22,97,1,"Knowledge panel, Sitelinks, Video","informational, transactional",Organic
relora,2,2,2400,30,0.49,https://smartq.pureforyou.com/products/33055574786082/relora-60,72,0.21,35,1,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
polyphenol supplements,4,4,1600,23,0.64,https://smartq.pureforyou.com/products/33055586451490/polyphenol-nutrients-180,70,0.2,44,1,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
cortisol calm,2,2,1600,11,0.75,https://smartq.pureforyou.com/products/33055559221282/cortisol-calm-60,70,0.2,52,1,"Knowledge panel, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
liquid magnesium glycinate,3,3,1600,12,0.73,https://smartq.pureforyou.com/products/33055608307746/magnesium-glycinate-liquid,70,0.2,51,1,"Sitelinks, Video, People also ask, AI overview",informational,Organic
thyroid support,7,7,2900,32,1.04,https://smartq.pureforyou.com/products/32040791375906/thyroid-support-complex,69,0.2,71,1,"Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
d mannose powder,9,9,3600,28,0.63,https://smartq.pureforyou.com/products/33055565185058/d-mannose-powder-176,68,0.2,42,1,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
magnesium citrate powder,9,9,3600,19,0.83,https://smartq.pureforyou.com/products/33055606439970/magnesium-powder,68,0.2,56,1,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
thyroid support supplement,7,9,2900,32,0.97,https://smartq.pureforyou.com/products/32040791375906/thyroid-support-complex,63,0.18,61,1,"Image pack, Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
magnesium pure encapsulations,2,2,480,31,0.93,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,63,0.18,58,1,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
pure encap b complex plus,2,2,480,17,0.8,https://smartq.pureforyou.com/products/39406461747234/b-complex-plus,63,0.18,50,1,"Sitelinks, Image, Video Carousel, Related searches",informational,Organic
pure b complex,2,2,480,20,0.84,https://smartq.pureforyou.com/products/39406461747234/b-complex-plus,63,0.18,52,1,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
pure encapsulations zinc,2,2,480,14,0.9,https://smartq.pureforyou.com/products/32040795439138/zinc-30,63,0.18,56,1,"Knowledge panel, Sitelinks, Video, Image, Related searches","informational, transactional",Organic
pure encapsulations dhea,2,2,480,13,1.56,https://smartq.pureforyou.com/products/33055646318626/dhea-25-mg-60,63,0.18,98,1,"Knowledge panel, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
pure one vitamins,2,2,480,16,0.82,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,63,0.18,51,1,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
glycinate magnesium pure,2,0,480,25,1.14,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,63,0.18,71,1,"Sitelinks, Video, Video Carousel, People also ask",informational,Organic
pure encapsulations d3 k2,3,3,720,17,0.79,https://smartq.pureforyou.com/products/43591436894242/vitamin-d3-k2,59,0.17,46,1,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums","informational, transactional",Organic
pure berberine,2,2,720,19,1.47,https://smartq.pureforyou.com/products/41066154983458/berberine-ultrasorb,59,0.17,86,1,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
one multivitamin pure encapsulations,3,3,720,23,0.58,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,59,0.17,34,1,"Knowledge panel, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
pure encapsulations ashwagandha,3,3,720,18,0.85,https://smartq.pureforyou.com/products/33055689211938/ashwagandha,59,0.17,50,1,"Knowledge panel, Sitelinks, People also ask, Related searches",informational,Organic
pure encap magnesium,2,2,720,34,0.93,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,59,0.17,54,1,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
liposomal vitamin c liquid,2,2,720,17,1.19,https://smartq.pureforyou.com/products/32040751693858/liposomal-vitamin-c,59,0.17,70,1,"Sitelinks, Video, Related searches, AI overview",informational,Organic
dao enzyme supplement,5,5,1900,25,0.66,https://smartq.pureforyou.com/products/43700732919842/dao-enzyme,57,0.16,37,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
calcium a vitamin d,7,7,2400,66,0.69,https://smartq.pureforyou.com/products/33055651561506/calcium-with-vitamin-d3,57,0.16,39,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pure encapsulations nac,3,3,880,9,1.11,https://smartq.pureforyou.com/products/32040776990754/nac-900-mg,57,0.16,63,1,"Sitelinks, Video, People also ask, AI overview",informational,Organic
sp pure for you,1,1,70,38,0.9,https://pureforyou.com/,56,0.16,50,0.97,"Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
pure encapsulations pqq coq10,5,5,1600,8,0,https://smartq.pureforyou.com/products/32040787968034/sr-coq10-with-pqq,56,0.16,0,0,"Sitelinks, Video, People also ask, Related searches",informational,Organic
dao enzyme supplements,6,6,2900,28,0.7,https://smartq.pureforyou.com/products/43700732919842/dao-enzyme,55,0.16,38,1,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
dao supplements,1,1,1600,24,0.66,https://smartq.pureforyou.com/products/43700732919842/dao-enzyme,55,0.16,36,1,"Sitelinks, Video, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
hyaluronic acid supplement,7,7,2400,42,0.9,https://smartq.pureforyou.com/products/33055636029474/hyaluronic-acid-60,52,0.15,46,1,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
pure vitamin d3,2,2,390,28,0.95,https://smartq.pureforyou.com/products/39406546288674/vitamin-d3,51,0.15,48,1,"Image pack, Sitelinks, Video, Image, Related searches",informational,Organic
pure encapsulations quercetin,2,2,390,6,1.02,https://smartq.pureforyou.com/products/32040786821154/quercetin,51,0.15,52,1,"Sitelinks, Video, People also ask, Related searches",informational,Organic
pure encapsulations iron,2,2,390,14,1.01,https://smartq.pureforyou.com/products/39354424459298/iron-c,51,0.15,51,1,"Knowledge panel, Sitelinks, Video, Image, Related searches",informational,Organic
pure encapsulations vitamin d,2,2,390,20,0.74,https://smartq.pureforyou.com/products/39406546288674/vitamin-d3,51,0.15,37,1,"Sitelinks, Video, Image, People also ask, Related searches, Discussions and forums",informational,Organic
magnesium pure,2,2,390,19,0.98,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,51,0.15,49,1,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
pure formulas,13,13,9900,59,1.86,https://pureforyou.com/,49,0.14,91,0.98,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
l arginine supplement,13,8,9900,52,0.81,https://smartq.pureforyou.com/products/33055634260002/l-arginine,49,0.14,39,0.98,"Sitelinks, Image, People also ask, Related searches, AI overview",informational,Organic
pure encapsulations vitamin d3 k2,3,3,590,16,0.79,https://smartq.pureforyou.com/products/43591436894242/vitamin-d3-k2,48,0.14,37,1,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
pure encapsulations calcium citrate,3,3,590,26,0.83,https://smartq.pureforyou.com/products/39406543536162/calcium-citrate,48,0.14,39,1,"Knowledge panel, Sitelinks, Video, Image, Related searches",informational,Organic
pure encapsulations glycine 180 capsules,3,0,590,17,0,https://smartq.pureforyou.com/products/33055638093858/glycine,48,0.14,0,0,"Knowledge panel, Sitelinks, Video, Related searches",informational,Organic
pure one,2,2,590,34,1.85,https://smartq.pureforyou.com/products/39251840991266/o-n-e-multivitamin,48,0.14,88,0.58,"Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,Organic
pure encapsulations probiotic,3,3,590,20,1.29,https://smartq.pureforyou.com/products/39410173149218/probiotic-g-i,48,0.14,61,1,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
pureencapsulations,3,3,720,51,1.19,https://pureforyou.com/,46,0.13,54,1,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches",commercial,Organic
phenylalanine supplement,3,3,720,36,0.59,https://smartq.pureforyou.com/products/33055645564962/dl-phenylalanine-90,46,0.13,27,1,"Sitelinks, Video, Related searches, AI overview",informational,Organic
liquid b complex,3,3,720,11,0.54,https://smartq.pureforyou.com/products/33055655788578/b-complex-liquid,46,0.13,24,1,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
pure encapsulations digestive enzymes ultra,3,3,720,17,1.06,https://smartq.pureforyou.com/products/32040736817186/digestive-enzymes-ultra,46,0.13,48,0.9,"Knowledge panel, Sitelinks, Video, People also ask, Related searches","informational, transactional",Organic
dim detox,7,7,1900,28,0,https://smartq.pureforyou.com/products/32040737734690/dim-detox,45,0.13,0,1,"Sitelinks, Video, Video Carousel, Popular products, Related searches, AI overview",informational,Organic
ip6,4,4,1900,34,0.66,https://smartq.pureforyou.com/products/33055634685986/ip6-inositol-hexaphosphate,45,0.13,29,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
magnesium citrate pills,9,9,2400,45,0.63,https://smartq.pureforyou.com/products/32040753659938/magnesium-citrate,45,0.13,28,1,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
doa enzyme,4,4,1300,45,0.62,https://smartq.pureforyou.com/products/43700732919842/dao-enzyme,45,0.13,27,1,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
magnesium powder supplement,3,3,1300,30,0.95,https://smartq.pureforyou.com/products/33055606439970/magnesium-powder,45,0.13,42,1,"Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
pure prenatal vitamins,2,2,320,20,1.42,https://smartq.pureforyou.com/products/40638309761058/prenatal-nutrients,42,0.12,59,1,"Sitelinks, Video, People also ask, Related searches",informational,Organic
magnesium pure encapsulations product info and reviews,1,1,1300,27,0,https://smartq.pureforyou.com/products/39410161811490/magnesium-glycinate,42,0.12,0,0,"Sitelinks, Video, Image, Related searches, Discussions and forums, AI overview","commercial, informational",AI overview
pure encapsulations iron c,2,2,320,10,0.87,https://smartq.pureforyou.com/products/39354424459298/iron-c,42,0.12,36,1,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","informational, transactional",Organic
tryptophan supplement,3,3,3600,41,1.09,https://smartq.pureforyou.com/products/33055632523298/l-tryptophan-90,41,0.12,44,1,"Image pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
nac 600mg,4,4,1900,23,1.15,https://smartq.pureforyou.com/products/39354440515618/nac-600-mg-90-capsules,41,0.12,47,1,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
magnesium powder,13,13,8100,29,0.88,https://smartq.pureforyou.com/products/33055606439970/magnesium-powder,40,0.11,35,1,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
pureforyou login,1,1,50,32,10.04,https://smartq.pureforyou.com/login,40,0.11,401,0.32,"Video, Ads bottom, Related searches","navigational, transactional",Organic
pureforyou discount code,1,1,50,13,7.14,https://smartq.pureforyou.com/collections/pure-surplus-offers,40,0.11,285,0.4,"Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview","informational, transactional",Organic
glutathione liquid form,2,2,480,32,1.59,https://smartq.pureforyou.com/products/33055629115426/liposomal-glutathione-liquid,39,0.11,62,1,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
pure melatonin,2,2,480,15,1.55,https://smartq.pureforyou.com/products/33055601229858/melatonin-60,39,0.11,60,1,"Image pack, Sitelinks, Video, Ads bottom, Shopping ads, People also ask, Related searches, AI overview",informational,Organic
liquid liposomal vitamin c,2,2,480,21,1.19,https://smartq.pureforyou.com/products/32040751693858/liposomal-vitamin-c,39,0.11,46,1,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
pure ashwagandha,2,2,480,32,1.33,https://smartq.pureforyou.com/products/33055689211938/ashwagandha,39,0.11,51,1,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
potassium citrate supplement,7,7,1600,36,0.75,https://smartq.pureforyou.com/products/32040780300322/potassium-citrate,38,0.11,28,0.96,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
magnesium powder supplements,3,3,590,27,1.25,https://smartq.pureforyou.com/products/33055606439970/magnesium-powder,38,0.11,47,1,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
